MOPS,Total Ops,Execution time,Threads,Search (%),Insert,Delete,Range,Seek Retries,Insert retries,Delete retries
0.234918,2349184,10000000,16,90,9,1,99999,0,136,0
0.231224,4624470,20000000,16,60,30,10,99999,34,3132,0
0.235536,4710714,20000000,16,60,30,10,99999,24,4245,0
0.005467,109333,20000000,16,60,30,10,99999,0,7,0
0.004225,84497,20000000,16,50,25,25,99999,0,1491,0
0.014575,291504,20000000,16,30,35,35,99999,17,276,0
0.016344,326872,20000000,16,30,35,35,99999,7,500,0
0.012216,427571,35000000,32,30,35,35,99999,0,243,0
0.012359,432574,35000000,32,30,35,35,99999,2,273,0
0.011754,411406,35000000,32,30,35,35,99999,1,242,0
0.007471,261472,35000000,32,30,35,35,99999,20,2628,0
0.005763,201716,35000000,32,10,45,45,99999,1,393,0
0.598747,20956148,35000000,32,10,45,45,999,77,14748451,0
0.584214,20447506,35000000,32,10,45,45,9999,60,14172260,0
0.553625,19376866,35000000,32,10,45,45,49999,7,13054693,0
0.694845,24319592,35000000,32,30,35,35,49999,23,11743655,0
0.733082,25657859,35000000,32,50,30,20,127999,121,8529203,0
0.875605,30646173,35000000,32,70,20,10,127999,21,5189752,0
0.534442,18705458,35000000,32,90,9,1,127999,8,90458,0
0.462410,16184365,35000000,32,90,9,1,127999,4,153355,2
0.447108,15648790,35000000,32,90,9,1,127999,4,35639,0
0.440090,15403149,35000000,32,90,9,1,127999,2,46634,4
0.994656,34812976,35000000,32,90,9,1,127999,14,1615503,0
0.345541,12093950,35000000,32,90,9,1,127999,4,27602,0
0.503148,17610173,35000000,32,90,9,1,127999,5,37454,0
1.098562,38449677,35000000,32,90,9,1,127999,2,1871994,0
0.495264,17334233,35000000,32,90,9,1,127999,6,46607,1
0.924714,32364973,35000000,32,90,9,1,127999,17,1412608,0
0.356092,12463214,35000000,32,90,9,1,127999,6,11104,0
0.962120,33674214,35000000,32,70,20,10,127999,6,7191551,1
0.960093,33603269,35000000,32,70,20,10,127999,13,6559241,0
0.534956,18723464,35000000,32,0,50,50,127999,32,14213575,1
0.528480,18496798,35000000,32,0,50,50,127999,35,14021261,18
0.505990,17709661,35000000,32,0,50,50,127999,73,13042446,1
0.553605,19376187,35000000,32,0,50,50,127999,27,14987924,3
